tournamentName,tournamentDate,gameNumber,blackPlayerName,blackPlayerRank,whitePlayerName,whitePlayerRank,result,resultDetail,transcript,comment
Antwerpen Open,2012/01/01,1,Kortendijk Albert,,Schotte Tom,,A,,f5f6e6f4e3c5c4e7c6e2f3d3c3d2e1c1f2c2f1d6g4g5d7h4h3g3h5g6d1c8h2g1e8b5b3b4f7h7b2c7b6g8b7a5a3a4a6a2f8a7h8a8a1b1h1g2b8d8g7h6,
Antwerpen Open,2012/01/01,2,de Graaf Jan C.,,Kortendijk Albert,,A,,f5d6c3d3c4f4e6f6e3c5c6b6c7b5e7d7d8f8g3f3g6g5f7b4h4e8g8h5g4c8b8h3f2c2d2f1b3e1a3a5d1h6g1e2g2c1b1h1b2a1a2a4g7h8h2a8b7a7a6h7,
Antwerpen Open,2012/01/01,3,Praseptyo Linda,,Schotte Tom,,A,,f5f6e6f4e3c5c4e7c6e2f3d3c3d2e1c1f2c2d1f1e8d6f7d7c7g8g5g6g4b5b3a3a5h6h4a6a4b4g3h3f8d8h5g7c8b8g2h2h1b6b7g1b2a2h8h7b1a1a8a7,
Antwerpen Open,2012/01/01,4,Schotte Tom,,Sneek Marcel,,A,,f5f6e6f4c3d7f3d6g5e3g4g3d2c5e2h5h3d3h6h7c4b3g6f7a3c2d1f2e1b1b4g1b6b5a6b2f1a5a4c1c6c7b7h4h8a8f8a7a1a2h1g8h2g7g2e8e7d8c8b8,
Antwerpen Open,2012/01/01,5,Schotte Tom,,Helmes Jiska,,A,,f5d6c3g5c6b6f6e7h5f4g6c5e6f7g4h4h3h6h7d3c2d2e3f3c4g3e1b4e2d1f8f1h2c1e8f2b5a5b3d7c8g2c7a3h1g1b2g7b1d8a7a6a2a8b8b7a4a1g8h8,
Antwerpen Open,2012/01/01,6,Schotte Tom,,Peperkamp Marcel,,A,,f5d6c3d3c4f4f6f3g4g5e3e2d2b4f1f7g3h4e6c1e1c2c5e7f2h3b5b3a4d1b1a3a2a6h6g6b6c6d7c8e8f8c7a5a7d8h7b8g7g2h5b2a1h8g8b7h1h2g1a8,
Antwerpen Open,2012/01/01,7,Fransen Martin,,Schotte Tom,,A,,f5f6e6f4g5e7f7d6e8h6c6g6g4f8g8c7h4h5h7d8c8d7c4c5b5b6a6a4b4a3b3c2g7d3d2c3c1e3e2h8b2h3b7b8a8a7a5a2a1b1f3g2f2g3h2h1g1d1e1f1,
Antwerpen Open,2012/01/01,8,Schotte Tom,,Ilbrink Jarl,,A,,f5f6e6f4c3c4d3c5e3d6g4d2c2h3e2g3b4f3g5f2h4h5f1a3a5b3b5c1d1e1b1a6a4g2b6c6b7a8g1b2a1a2b8c8a7c7e7h1h2h6g6g7f7f8h7g8d7e8d8h8,
Antwerpen Open,2012/01/01,9,Sneek Marcel,,de Graaf Jan C.,,A,,f5f6e6f4e3d6g4d3c3h3c4g3c6b6e7c5g6f7d7h6a6d8f8c8c7b8b5e2f2d2f1e1d1b4a3a4a5b3c2b7g5f3g1b1h2h5h4h1c1a2b2a7a1g2g7e8a8g8h7h8,
Antwerpen Open,2012/01/01,10,Helmes Jiska,,Peperkamp Marcel,,A,,f5d6c5f4e3c6d3f6e6d7e7c7c4f3d8c8b8e8f8f7g8e2b5c2d2c1g5h6g4h5g3b4a3f2c3h2e1g6f1a5a6a4b3d1b6b7b1b2a1a2h3h4a8a7g7g1h1h7h8g2,
Antwerpen Open,2012/01/01,11,Helmes Jiska,,de Graaf Jan C.,,A,,f5d6c4g5c6c5d7d3b5c3e3f3f6f7f4e6e2g3e7d2g6b4a3a6a4b6b3c2c1e8d1a5a7c8d8g4h6h5f2h7h2c7f8g8b7e1h3b1f1g1b2a1a2h4h8g7b8a8g2h1,
Antwerpen Open,2012/01/01,12,Peperkamp Marcel,,van Seggelen Trees,,A,,f5f6e6f4e3c5c4e7g4g3g5f3g6d6f7e2d3c6d2f2c3b4e1f1d1c1c2f8d7c8b6h3h4a6a5b5e8a3d8a4c7b3g1h1b1a1b2h5a2b7h6b8a8h7a7g8h8h2g2g7,
Antwerpen Open,2012/01/01,13,Cantamessa Alessand,,Peperkamp Marcel,,A,,f5d6c5f4e3c6d3f6e6d7g3c4b4b3g5c3b5a5a4a3b6e2d2c7f3a6c2c1d1g6b1h5e7f7e8g4d8f8b8f1e1f2g1h2h3h4h6h7b2b7g8g7h8a2c8a1h1g2a7,
Antwerpen Open,2012/01/01,14,Peperkamp Marcel,,Van Damme Brecht,,A,,f5d6c3d3c4f4f6g5e6c5f3e3g4f7g6g3e7f8c7b4d8h4e2f2c2e1d2d1b6b5c6h6h5a6d7b8a3a4b3c1h3h2g1b2g2a2a5h1f1e8a1b7a7c8h7g7b1h8a8g8,
Antwerpen Open,2012/01/01,15,de Graaf Jan C.,,Cantamessa Alessand,,A,,f5d6c3d3c4f4c5b4b3e6e3f2g4d2c2f3f6g3e2d1f1h4e1g1g5b5a4c1a6h6h5a5e7e8h3h2b2g6g7f7f8g2d8g8h8h7c7c6d7b6b7b1h1a1a2a3b8a8c8a7,
Antwerpen Open,2012/01/01,16,Ilbrink Jarl,,de Graaf Jan C.,,A,,f5d6c3d3c4b3c6b6b4a5d7e8e2c5b5a4c7d8a6e6e7a7c2f8a2f6b8g4g5h4h3h2g7c8h5a8b7h6h8f3f7d2f4a3g3f2f1d1c1e3e1a1b2b1g1g8g6,
Antwerpen Open,2012/01/01,17,de Boer Akke-lien,,de Graaf Jan C.,,A,,f5f6e6f4e3d6c4e2d7c6f7d3g4f3g6e7d8c3c5c7b5e8f8c8b8b3g5h4h3h2g3f2d1e1f1c2c1b4a5a6b6a4d2g2b7h5h6h7h1g7h8g8a2a8a3a7g1b2a1b1,
Antwerpen Open,2012/01/01,18,de Graaf Jan C.,,Ilitch Juliette,,A,,f5f4f3g4e3f6d3c4e6c2g3e2g5e7d6g6d7h6h5f7f2c5c6d8c7b6d1e1f1h4h3h2f8e8c8g2g8g7a6a5a4b7b8b3b4a8a7h1b5a3g1h7c1b1b2c3a2d2h8a1,
Australian National,2012/01/01,1,Cairns Phil,,Vinar Matt,,A,,f5d6c3d3c5f4d2f6d7c6c7d1f3e3g5e6c2c4g4e2b4g6c1a4f7d8h5f2e1g3f1h4b5e7c8b3h6f8a5b2h3a6b6a3e8b8a2a1b1g2h1g1b7g8g7h8h7h2a7a8,
Barrage Nederland,2012/01/01,1,Kortendijk Albert,,van den Berg Erwin,,A,,f5d6c3d3c4f4f6f3e6e7d7b3e3e2d2b4b5c5c6g6f7e1h6c2g5e8g3h3a4h4h5d8f8g8c7g4h2g7f2f1g2a5a6c8b6b7h8h7a3b2b1c1a1a2b8a8a7h1g1d1,
Barrage Nederland,2012/01/01,2,van den Berg Erwin,,Kortendijk Albert,,A,,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5g4h3h4h5h6h7c8d8c5c6b4d2e2b3b5a3b6c7e3a6c2a5a4b2g7g8a1f1a2e1d1h8a7g2f2g3g1b7e8b8a8c1b1h2h1,
Barrage Nederland,2012/01/01,3,Kortendijk Albert,,van Heere Mark,,A,,f5f6e6f4e3c5c4d6b5d3c3c2e2b3d7f3b4a4f7a6a5b6c7e7d2c6a3a2c1e8d8f1f8d1b2a1b1c8b8b7g3g4h4g5g6g7e1h7a8a7h8f2g8h2h3g2h6h5h1g1,
Barrage Nederland,2012/01/01,4,van Heere Mark,,Kortendijk Albert,,A,,f5d6c5f4e3c6e6f6g4c4g5f3g3c3f7g6h5h6d7d2h7f2e2e8c8f8c7e7d3h3f1e1b6a6b4b3b5g1d1c1c2a3a5a4b7h4h2a8d8a7g8g2h1b8b1h8a2g7a1b2,
Barrage Nederland,2012/01/01,5,Kortendijk Albert,,Hobo Roel,,A,,f5d6c3d3c4f4f6f3e6e7d7c5c6g6g5f7f8g4e2d8e3e1h5h6h7c8d2h4h3g3h2c1f2f1g7c7e8b6g2h8g8b3b4a5d1c2b5a6b7h1a7a8b8a3a4g1a2b2a1b1,
Barrage Nederland,2012/01/01,6,Hobo Roel,,Kortendijk Albert,,A,,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6c7c8f7g8b5b4b6e3a3h6f2e2d1e1c2d2f1g5e8f8g3g4h3h4h5h2c1a6a7g2a5a4b3a8h1a2b2a1g7h8h7b7b8g1b1,
Barrage Nederland,2012/01/01,7,van den Berg Erwin,,van Heere Mark,,A,,f5f6e6f4g5e7d7g6e8g4h3c5h6g3h5f7d6f8d8c8c7c6f3g7e3e2d2f2d1e1f1h4d3g2g1c2c3c4b4a4c1b3a3h7h8g8a5b2b5a2b6a6b7a7b8a8b1a1h1h2,
Barrage Nederland,2012/01/01,8,van Heere Mark,,van den Berg Erwin,,A,,f5f6e6f4c3d6f3c5g4g3e7f7g5h5g6f8e3h6h3d2e2h4h7c4d3f1d1e1g1b3d8f2c1c2c7c6d7e8c8g7b1g2a3a2a1b2a4b4h8g8a5b7b5a6h2h1b6b8a8a7,
Barrage Nederland,2012/01/01,9,van den Berg Erwin,,Hobo Roel,,A,,f5f6e6f4g5e7f7h5g4g6e3h4f3d3c4f8h6h7d8c5d6c6d7e2e1c3f2c8b8c7d2c2g3d1b5a5b3a3h3h2a4a6b4c1f1e8g8b2g2h1g1b6a2a1b1g7h8a7b7a8,
Barrage Nederland,2012/01/01,10,Hobo Roel,,van den Berg Erwin,,A,,f5d6c3d3c4f4f6g5e6f7d7c6e7c5e3f3g6h6g4h3g3b4f8h2b3c2d2d1c1b1a5a3b5b6a4a6c7e1b2f2f1a1e2c8d8e8b7a7h4h5b8g1a8g7g2a2h8g8h7h1,
Barrage Nederland,2012/01/01,11,van Heere Mark,,Hobo Roel,,A,,f5d6c5f4e3c6e6f6g4c4g5c3d7e7c7d8c8f7e8f8g8f3e2d2g3h6g6e1d3f2f1h5c1g1b6h2h4h3b5a5b3a2a4a3b4h7b2a1c2a6b7b8a8b1d1a7h1g2h8g7,
Barrage Nederland,2012/01/01,12,Hobo Roel,,van Heere Mark,,A,,f5f6e6f4c3d6f3c4c5b6g4e3d3h3h5b4a4d2e2e1f1g1c6g5f2c2h6b5c7e7f7a3a2b3e8g3d1c1d7d8b2b7h2h1g2h4g7g6a8a7f8h7b8c8a6a5g8h8a1b1,
Barrage Nederland,2012/01/01,13,Helmes Jiska,,Praseptyo Linda,,A,,f5d6c4d3c5f4e3c3f3g6e6f6d2b4a4e2b5g5g4b3c6h3h4h5c7c1h7a6a5a3d1e1d7e7b6c2f2f7f8g3g2a7f1d8e8h1b1c8b8b2a1a2a8b7h2g1g7h8h6g8,
Barrage Nederland,2012/01/01,14,Praseptyo Linda,,Helmes Jiska,,A,,f5f6e6f4e3d7e7c5c6d6c7d3c4f3f7e8g5b3g6d8c8b8c3g4a3b4e2c2a4d2b5b6f8g8a7f2d1e1c1h4h6g3f1h5g7a5a6b1a1a2h3a8b7h7h8h2g2h1g1b2,
Barrage Nederland,2012/01/01,15,Helmes Jiska,,Praseptyo Linda,,A,,f5d6c4d3c5f4e3c3f3g4e6e2d2b4b6c6b5d1c2f2a4f7e7c7f6g5d7e8c8d8g6a6h5h4f8h6b3a3a5c1h3h2g3g2b2b7a8a7b8a1a2g7g1f1h1b1g8h8h7e1,
Barrage Nederland,2012/01/01,16,Praseptyo Linda,,Helmes Jiska,,A,,f5f6e6f4e3d7g4f3g5e2d6g6d3c5e7e8c4f7c8h4h5h6b4d8g3c3c7c6d1f1d2c1b1c2b5a3a4f2b6b3h2b8a2a7f8g8a6h3h7g7a8a5b7a1h8e1g2h1g1b2,
